"term","name","family"
"-osis","Ancient North Greek","Indo-European"
"-osity","Middle English","Indo-European"
"-oth","Here","Atlantic-Congo"
"-otic","Latin","Indo-European"
"-ous","Middle French","Indo-European"
"-pagus","Ancient North Greek","Indo-European"
"-parous","Latin","Indo-European"
"-partite","Indo-European","Indo-European"
"-path","Ancient North Greek","Indo-European"
"-pathic","Ancient North Greek","Indo-European"
"-pause","Middle French","Indo-European"
"-ped","Latin","Indo-European"
"-pedia","Ancient North Greek","Indo-European"
"-penia","Ancient North Greek","Indo-European"
"-petal","Latin","Indo-European"
"-pexy","Ancient North Greek","Indo-European"
"-phage","Ancient North Greek","Indo-European"
"-phagia","Ancient North Greek","Indo-European"
"-phagic","Ancient North Greek","Indo-European"
"-phagous","Latin","Indo-European"
"-phagy","Ancient North Greek","Indo-European"
"-phany","Ancient North Greek","Indo-European"
"-phasia","Ancient North Greek","Indo-European"
"-phile","Latin","Indo-European"
"-philia","Ancient North Greek","Indo-European"
"-philic","Ancient North Greek","Indo-European"
"-philous","Ancient North Greek","Indo-European"
"-phily","Ancient North Greek","Indo-European"
"-phobe","French","Indo-European"
"-phobia","Ancient North Greek","Indo-European"
"-phobic","Late Latin","Indo-European"
"-phone","Indo-European","Indo-European"
"-phonic","Ancient North Greek","Indo-European"
"-phore","Ancient North Greek","Indo-European"
"-phoresis","Ancient North Greek","Indo-European"
"-phrenia","Ancient North Greek","Indo-European"
"-phyll","Ancient North Greek","Indo-European"
"-phyllous","Ancient North Greek","Indo-European"
"-physis","Ancient North Greek","Indo-European"
"-phyte","Ancient North Greek","Indo-European"
"-plasia","Ancient North Greek","Indo-European"
"-plasty","Ancient North Greek","Indo-European"
"-ple","Ancient North Greek","Indo-European"
"-plegia","Ancient North Greek","Indo-European"
"-plex","Latin","Indo-European"
"-ploid","Ancient North Greek","Indo-European"
"-pnea","Ancient North Greek","Indo-European"
"-pod","Ancient North Greek","Indo-European"
"-poeia","Ancient North Greek","Indo-European"
"-poiesis","Ancient North Greek","Indo-European"
"-poleis","Ancient North Greek","Indo-European"
"-polis","Ancient North Greek","Indo-European"
"-poly","Ancient North Greek","Indo-European"
"-pter","Ancient North Greek","Indo-European"
"-ptile","Ancient North Greek","Indo-European"
"-rama","Ancient North Greek","Indo-European"
"-red","Middle English","Indo-European"
"-rel","Middle French","Indo-European"
"-ric","Middle English","Indo-European"
"-rix","Latin","Indo-European"
"-rrhagia","Ancient North Greek","Indo-European"
"-rrhaphy","Ancient North Greek","Indo-European"
"-rrhea","Ancient North Greek","Indo-European"
"-rrhexis","Ancient North Greek","Indo-European"
"-s","Middle English","Indo-European"
"-s-","Middle English","Indo-European"
"-sama","Japanese","Japonic"
"-saur","Ancient North Greek","Indo-European"
"-saurus","Ancient North Greek","Indo-European"
"-scape","Middle Dutch","Indo-European"
"-scope","Ancient North Greek","Indo-European"
"-scopy","Ancient North Greek","Indo-European"
"-se","Middle English","Indo-European"
"-self","Dutch","Indo-European"
"-ship","Middle English","Indo-European"
"-sion","Latin","Indo-European"
"-sis","Ancient North Greek","Indo-European"
"-ski","Russian","Indo-European"
"-sol","Latin","Indo-European"
"-some","Germanic","Indo-European"
"-sophy","Ancient North Greek","Indo-European"
"-spect","Latin","Indo-European"
"-st","Middle English","Indo-European"
"-stan","Old Persian","Bookkeeping"
"-stasis","Indo-European","Indo-European"
"-stat","Ancient North Greek","Indo-European"
"-ster","Middle English","Indo-European"
"-stome","Ancient North Greek","Indo-European"
"-strophy","Ancient North Greek","Indo-European"
"-style","Ancient North Greek","Indo-European"
"-t","Middle English","Indo-European"
"-teen","Germanic","Indo-European"
"-tene","Ancient North Greek","Indo-European"
"-th","Middle English","Indo-European"
"-therm","Ancient North Greek","Indo-European"
"-thermic","Ancient North Greek","Indo-European"
"-tide","Middle English","Indo-European"
"-tion","Middle French","Indo-European"
"-tome","Ancient North Greek","Indo-European"
"-tomy","Ancient North Greek","Indo-European"
"-ton","Middle English","Indo-European"
"-tope","Ancient North Greek","Indo-European"
"-topia","Ancient North Greek","Indo-European"
"-topic","Latin","Indo-European"
"-tort","Middle French","Indo-European"
"-treme","Ancient North Greek","Indo-European"
"-tron","Ancient North Greek","Indo-European"
"-trope","Latin","Indo-European"
"-troph","Ancient North Greek","Indo-European"
"-trophic","Ancient North Greek","Indo-European"
"-trophy","Ancient North Greek","Indo-European"
"-tropic","Ancient North Greek","Indo-European"
"-tropism","Latin","Indo-European"
"-tropy","Ancient North Greek","Indo-European"
"-ty","Middle French","Indo-European"
"-ual","Latin","Indo-European"
"-ule","Latin","Indo-European"
"-un-","Latin","Indo-European"
"-ure","Middle French","Indo-European"
"-uret","Latin","Indo-European"
"-urgy","Ancient North Greek","Indo-European"
"-uria","Ancient North Greek","Indo-European"
"-v-","French","Indo-European"
"-ville","French","Indo-European"
"-vore","Latin","Indo-European"
"-vorous","Latin","Indo-European"
"-ward","Middle English","Indo-European"
"-wards","Middle English","Indo-European"
"-ware","Middle English","Indo-European"
"-wich","Latin","Indo-European"
"-wise","Germanic","Indo-European"
"-work","Middle English","Indo-European"
"-worthy","Middle English","Indo-European"
"-xeny","Ancient North Greek","Indo-European"
"-y","Middle French","Indo-European"
"-yer","Middle English","Indo-European"
"-yl","French","Indo-European"
"-zoic","Ancient North Greek","Indo-European"
"-zoon","Latin","Indo-European"
"$cientology","Tingal","Bookkeeping"
"& cetera","Latin","Indo-European"
"&c.","Latin","Indo-European"
"*band","Tingal","Bookkeeping"
"*nix","Tingal","Bookkeeping"
"/s","Tingal","Bookkeeping"
"/thread","Tingal","Bookkeeping"
"ǃXóõ","Central","Atlantic-Congo"
"£sd","Latin","Indo-European"
"↑","Japanese","Japonic"
"↓","Japanese","Japonic"
"♨","Japanese","Japonic"
"1-2-3","Tagalog","Austronesian"
"1-up","Japanese","Japonic"
"10Xer","Tingal","Bookkeeping"
"12mo","Tingal","Bookkeeping"
"175er","German","Indo-European"
"18mo","Tingal","Bookkeeping"
"3 Musketeer","French","Indo-European"
"3D job","Japanese","Japonic"
"40S","Tingal","Bookkeeping"
"48","Arabic","Afro-Asiatic"
"4to","Latin","Indo-European"
"60S","Tingal","Bookkeeping"
"6to","Latin","Indo-European"
"a","Middle English","Indo-European"
"a-","Indo-European","Indo-European"
"A","Middle English","Indo-European"
"a- -ing","Middle English","Indo-European"
"A-Pucikwar","Apucikwar","Great Andamanese"
"a baculo","Latin","Indo-European"
"à bas","French","Indo-European"
"a battuta","Italian","Indo-European"
"a bene placito","Italian","Indo-European"
"à bouche","French","Indo-European"
"a cappella","Italian","Indo-European"
"a capriccio","Italian","Indo-European"
"à contrecœur","Middle French","Indo-European"
"A Coruña","Galician","Indo-European"
"à deux","French","Indo-European"
"a fortiori","Latin","Indo-European"
"a go-go","French","Indo-European"
"à gogo","French","Indo-European"
"a journey of a thousand miles begins with a single step","Middle Chinese","Sino-Tibetan"
"a la","French","Indo-European"
"à la","French","Indo-European"
"à la carte","French","Indo-European"
"a la minute","French","Indo-European"
"a la mode","French","Indo-European"
"à la russe","French","Indo-European"
"à outrance","French","Indo-European"
"a piacere","Italian","Indo-European"
"a posteriori","Latin","Indo-European"
"a potiori","Latin","Indo-European"
"a priori","Latin","Indo-European"
"à propos de bottes","French","Indo-European"
"à trois","French","Indo-European"
"A""H","Here","Atlantic-Congo"
"a.i.","Latin","Indo-European"
"a.m.","Latin","Indo-European"
"aa","Hawaiian","Austronesian"
"Aa","East Germanic","Indo-European"
"āā","Ancient North Greek","Indo-European"
"Aachen","German","Indo-European"
"Aagaard","Danish","Indo-European"
"aalii","Hawaiian","Austronesian"
"aam","Latin","Indo-European"
"aandblom","Afrikaans","Indo-European"
"aapa","Urdu","Indo-European"
"Aar","German","Indo-European"
"aardvark","Middle Dutch","Indo-European"
"aardwolf","Afrikaans","Indo-European"
"Aarhus","Danish","Indo-European"
"Aaron","Ancient North Greek","Indo-European"
"aarti","Sanskrit","Indo-European"
"Aashaadha","Sanskrit","Indo-European"
"aasvogel","Afrikaans","Indo-European"
"Aatxe","Basque","Basque"
"Aatxegorri","Basque","Basque"
"ab-","Indo-European","Indo-European"
"Ab","Here","Atlantic-Congo"
"ab absurdo","Latin","Indo-European"
"ab aeterno","Old Latin","Indo-European"
"ab extra","Late Latin","Indo-European"
"ab inconvenienti","Old Latin","Indo-European"
"ab initio","Latin","Indo-European"
"ab intra","Old Latin","Indo-European"
"ab origine","Latin","Indo-European"
"ab ovo","Latin","Indo-European"
"ab urbe condita","Latin","Indo-European"
"ab Urbe condita","Latin","Indo-European"
"ab utili","Latin","Indo-European"
"aba","Arabic","Afro-Asiatic"
"Ababda","Arabic","Afro-Asiatic"
"Ababil","Arabic","Afro-Asiatic"
"abaca","Spanish","Indo-European"
"abacate","Portuguese","Indo-European"
"abacaxi","Northern Tujia","Sino-Tibetan"
"abacay","Ila","Atlantic-Congo"
"abaci","Latin","Indo-European"
"abacinate","Late Latin","Indo-European"
"abaciscus","Ancient North Greek","Indo-European"
"abacist","Medieval Latin","Indo-European"
"aback","Middle English","Indo-European"
"abacomancy","Here","Atlantic-Congo"
"abacost","French","Indo-European"
"abactor","Late Latin","Indo-European"
"abaculus","Latin","Indo-European"
"abacus","Latin","Indo-European"
"abada","Maay","Afro-Asiatic"
"abaddon","Ancient North Greek","Indo-European"
"Abaddon","Late Latin","Indo-European"
"Abadi","Arabic","Afro-Asiatic"
"abaft","Middle English","Indo-European"
"abaisance","Middle French","Indo-European"
"abaisse","French","Indo-European"
"abaissé","French","Indo-European"
"ABAKO","French","Indo-European"
